Neighborhood,Latitude,Longitude
112 Katong,1.3341500000000224,103.85133000000008
600 @ Toa Payoh,1.3690400227939952,103.84861996667455
AMK Hub,1.3423100000000545,103.77584000000007
Beauty World Market,1.324180037797634,103.9299599427268
Bedok Mall,1.3250500621789816,103.93250992281747
Bedok Point,1.3001899877377339,103.85571000000004
Bugis Junction,1.3008100000000695,103.85591000000005
Bugis+,1.4451821735119241,103.82598380419607
Canberra Plaza,1.2927800783364802,103.85148998831467
"Capitol Building, Singapore",1.2986800000000471,103.85367000000008
"Capitol Centre, Singapore",1.2927800744413083,103.85148999942317
Capitol Piazza,1.2988600000000474,103.84742000000006
The Cathay,1.3012800000000198,103.83684000000005
Cathay Cineleisure Orchard,1.435640001153906,103.78630993724421
Causeway Point,1.301230069969268,103.83923007386446
The Centrepoint,1.3527999660976093,103.94397996667458
"Century Square, Singapore",1.2836900000000355,103.85261000000008
"Change Alley, Singapore",1.3338100000000281,103.96349000000004
Changi City Point,1.285399973887933,103.84485997446484
Chinatown Point,1.3106700089441743,103.85645007328749
City Square Mall,1.2922100255352666,103.85578994892961
CityLink Mall,1.3149600000000419,103.76509000000004
Clementi Mall,1.3919300549656275,103.89462006665106
Compass One,1.3010850000000005,103.86258750000002
The Concourse,1.3423500294304376,103.95282996335631
"Eastpoint Mall, Singapore",1.287300000000073,103.83494000000007
Eng Wah Global,1.3317600000000311,103.84912000000008
ERA APAC Centre,1.3070099961049328,103.83321000447215
Far East Plaza,1.306170054965634,103.82834001168548
Forum The Shopping Mall,1.3017199738878835,103.85473998110126
Fu Lu Shou Complex,1.2911600300073252,103.85051999437418
Funan DigitaLife Mall,1.2911600300073252,103.85051999437418
"Funan, Singapore",1.3031399306077132,103.86505001832192
Golden Mile Complex,1.2926600073566838,103.8326199899021
Great World City,1.4362100000000737,103.83582000000007
GV Yishun,1.2650799955279894,103.81987006996927
HarbourFront Centre,1.3590600000000563,103.88562000000007
Heartland Mall,1.3724700255352764,103.89413997720615
Hougang Mall,1.3346500000000674,103.74590000000006
IMM (Singapore),1.2757200077903224,103.84625991892236
International Plaza (Singapore),1.3036000522243418,103.83194997778307
ION Orchard,1.3329800261121827,103.74043996999276
JCube,1.3324700483292102,103.74341993782112
"Jem, Singapore",1.3504700000000298,103.84911000000005
Junction 8,1.380479988891539,103.76051999884623
Junction 10,1.3208800000000451,103.74532000000005
Jurong Entertainment Centre,1.3400800000000572,103.70706000000007
Jurong Point,1.3045899904790101,103.87218001947576
Kallang Wave Mall,1.3037200588607958,103.90120996335635
Katong Shopping Centre,1.3019000450109905,103.8766399594612
Leisure Park Kallang,1.2913800805008844,103.84521998773774
Liang Court,1.3055400000000645,103.83085000000005
Liat Towers,1.295219943880646,103.78282004111584
Lot One,1.3040500227939722,103.8338500405389
Lucky Plaza,1.2847140000000081,103.84319700000003
"The Majestic, Singapore",1.2832500000000664,103.85971000000006
Marina Bay Sands,1.2912749999999988,103.85753850000003
Marina Square,1.310239937821073,103.85426998889155
Mustafa Centre,1.3510700366438,103.87281997778305
"Nex, Singapore",1.3024500621789703,103.83425008107778
Ngee Ann City,1.4293100000000436,103.83672000000007
"Northpoint City, Singapore",1.402220005049043,103.91315001110858
Oasis Terraces,1.284889994951089,103.85139997720611
One Raffles Place,1.3011999660976017,103.83921005222436
Orchard Central,1.3003400000000624,103.83934000000005
Orchard Gateway,1.3072800000000484,103.82922000000008
Orchard Towers,1.3540100000000734,103.94013000000007
Our Tampines Hub,1.306350011685468,103.82943005496563
Palais Renaissance,1.304037000000008,103.83598799999999
"The Paragon, Singapore",1.3021099427267733,103.90474000836726
Parkway Parade,1.285360018898808,103.84346006665108
People's Park Centre,1.2845799366672426,103.8429899294539
People's Park Complex,1.3004000000000246,103.84519000000006
Plaza Singapura,1.3941900000000373,103.91283000000004
Punggol Plaza,1.287960000000055,103.80388000000005
Queensway Shopping Centre,1.2944899910559515,103.85290000836729
Raffles City Shopping Centre,1.3071600000000672,103.83266000000003
Scotts Shopping Centre,1.3914000000000044,103.876236
Seletar Mall,1.4416000188988332,103.82454004443404
Sembawang Shopping Centre,1.2986800000000471,103.85367000000008
Shaw House and Centre,1.3034099261356913,103.85331995556608
Sim Lim Square,1.2941640000000092,103.85511300000002
"South Beach, Singapore",19.469080000000076,77.09305000000006
Specialists' Shopping Centre,1.293813,103.8512025
"Stamford House, Singapore",1.4481200366437674,103.81904001947578
"Sun Plaza, Singapore",1.2904100000000653,103.85211000000004
Suntec City,1.3545200000000364,103.94529000000006
Tampines 1,1.353189976629179,103.94478993782111
Tampines Mall,1.2651800000000435,103.82242000000008
Tangs,1.3065300000000661,103.85085000000004
Tekka Centre,1.3549099411393344,103.83125995556607
Thomson Plaza,1.2865800255352702,103.82780992498184
Tiong Bahru Plaza,1.300619926712594,103.83745998167821
TripleOne Somerset,1.304856000000001,103.8518775
"The Verge, Singapore",1.2643830000000094,103.82239800000002
VivoCity,1.4058400489061285,103.90169000447212
Waterway Point,1.3031600122624143,103.7652800783365
West Coast Plaza,1.3504099883146086,103.74941999220975
West Mall,1.3346399849964254,103.74259002943043
"Westgate, Singapore",1.305469964943807,103.83096998441953
Wheelock Place,1.3727599955280056,103.94967004385715
"White Sands Shopping Mall, Singapore",1.3037200111085505,103.83281004832921
Wisma Atria,1.2904100000000653,103.85211000000004
